IATA,Ciudad,Pais
MOR,MORRISTOWN,ESTADOS UNIDOS
FXE,FLORIDA,ESTADOS UNIDOS
PIP,PAIPA,COLOMBIA
PLN,CODAZZI,COLOMBIA
CLM,SAN JOSE,COLOMBIA
CUM,CAMPOALEGRE,COLOMBIA
7IY,LA PRIMAVERA,COLOMBIA
LPR,LA PRIMAVERA,COLOMBIA
LCT,ALVARADO,COLOMBIA
VVN,PUERTO LOPEZ,COLOMBIA
LMR,SAN ONOFRE - SUCRE,COLOMBIA
PBE,PUERTO BERRIO,COLOMBIA
MLR,MELGAR,COLOMBIA
7IQ,SAN LUIS DE PALENQUE,COLOMBIA
7IH,PUERTO GAITAN,COLOMBIA
LRM,LA ROMANA,REPUBLICA DOMINICANA
RIH,RIO HATO,PANAMA
SOX,FIRAVITOBA,COLOMBIA
7GL,LA JAGUA IBIRICO,COLOMBIA
7NS,PUERTO GAITAN,COLOMBIA
7NT,PUERTO GAITAN,COLOMBIA
LVE,PUERTO LOPEZ,COLOMBIA
PIO,PISCO,PERU
RPV,SAN JOSE,COSTA RICA
CZA,MERIDA,MEXICO
LAR,CALOTO,COLOMBIA
PRI,PARATEBUENO,COLOMBIA
URA,URIBIA,COLOMBIA
KPI,FLORIDA,ESTADOS UNIDOS
STD,SANTO DOMINGO,VENEZUELA
TEB,NEW JERSEY,ESTADOS UNIDOS
BOC,BOSCONIA,COLOMBIA
MDA,MIRANDA,COLOMBIA
AZS,SAMANA,REPUBLICA DOMINICANA
CCF,CALAMA,CHILE
CIP,ISLA DE PASCUA,CHILE
EGS,BALTRA,ECUADOR
NEW,LOUISIANA,ESTADOS UNIDOS
OTU,REMEDIOS,COLOMBIA
PBM,PARAMARIBO,SURINAME
SCY,FLANDES,COLOMBIA
YQX,GANDER,CANADA
COL,BELTRAN,COLOMBIA
9BB,PUERTO LOPEZ,COLOMBIA
ELA,EL CHARCO,COLOMBIA
TBQ,TIMBIQUI,COLOMBIA
LCD,Louis Trichardt,SURAFRICA
A03,FORTUL,COLOMBIA
HTZ,HATO COROZAL,COLOMBIA
ETO,RIONEGRO,COLOMBIA
CPC,BAHIA SOLANO,COLOMBIA
JUR,JURADO,COLOMBIA
VDF,VIGIA DEL FUERTE,COLOMBIA
URR,URRAO,COLOMBIA
PLS,PUERTO LOPEZ,COLOMBIA
MAG,MANAURE,COLOMBIA
CEB,AYAPEL,COLOMBIA
CAG,CODAZZI,COLOMBIA
2RS,RIOSUCIO,COLOMBIA
ELB,EL BANCO,COLOMBIA
7HC,LA PRIMAVERA,COLOMBIA
UCC,CUNAGUA,CUBA
BEE,IBAGUE,COLOMBIA
9M1,SOLANO,COLOMBIA
9M2,LARANDIA,COLOMBIA
7HD,LA PRIMAVERA,COLOMBIA
7IT,TRINIDAD,COLOMBIA
7FZ,OROCUE,COLOMBIA
PGA,OBANDO - VALLE,COLOMBIA
4JC,BUENAVENTURA,COLOMBIA
LOC,LOPEZ (MICAY),COLOMBIA
MTT,MITU,COLOMBIA
LGL,LA GLORIA,COLOMBIA
MTB,MONTELIBANO,COLOMBIA
SRS,SAN MARCOS,COLOMBIA
TRA,TARAMA,JAPON
ECO,BARRANCABERMEJA,COLOMBIA
TQS,SOLANO,COLOMBIA
PTP,POINTE A PITRE,ANTILLAS FRANCESAS
PDK,GEORGIA,ESTADOS UNIDOS
BFM,ALABAMA,ESTADOS UNIDOS
BHI,BAHIA BLANCA,ARGENTINA
BUR,CALIFORNIA,ESTADOS UNIDOS
GTF,MONTANA,ESTADOS UNIDOS
ABY,GEORGIA,ESTADOS UNIDOS
BLI,WASHINGTON,ESTADOS UNIDOS
LGB,CALIFORNIA,ESTADOS UNIDOS
PQE,PUERTO SALGAR,COLOMBIA
MAH,BARCELONA,ESPANA
IZT,IXTEPEC,MEXICO
SDR,SANTANDER,ESPANA
MCZ,RECIFE,BRASIL
PBC,CABALLOCOCHA,PERU
SNN,LIMERICK,IRLANDA
ELS,EL SOCORRO,COLOMBIA
ZPS,ZAPATOCA,COLOMBIA
MGP,MAGUI (PAYAN),COLOMBIA
VCC,SAN CARLOS DE GUAROA,COLOMBIA
7GH,PUERTO CARRENO,COLOMBIA
9AV,VILLAVICENCIO,COLOMBIA
BQL,MIRAFLORES - GUAVIARE,COLOMBIA
CAH,CAMPOALEGRE,COLOMBIA
PRC,PUERTO RICO - CAQUETA,COLOMBIA
MRI,MURINDO,COLOMBIA
PUR,LETICIA,COLOMBIA
MBO,ZAMBRANO,COLOMBIA
LFL,CODAZZI,COLOMBIA
BUG,Benguela,ANGOLA
HTC,HATO COROZAL,COLOMBIA
9BW,PUERTO LOPEZ,COLOMBIA
AGC,AGUACHICA,COLOMBIA
7GG,MANI,COLOMBIA
BAC,MEDELLIN,COLOMBIA
CMA,VILLAVICENCIO,COLOMBIA
PRE,PUERTO CARRENO,COLOMBIA
BBA,BAJO BAUDO,COLOMBIA
BOF,WASHINGTON,ESTADOS UNIDOS
CAM,JURADO,COLOMBIA
JBQ,AGUADILLA,PUERTO RICO
SPH,CHICLAYO,PERU
TLP,Tumolbil,NUEVA GUINEA
LMN,EL CHARCO,COLOMBIA
LBG,PARIS,FRANCIA
SMA,SAN MARTIN - CESAR,COLOMBIA
FTE,FUENTE DE ORO,COLOMBIA
7HB,PUERTO GAITAN,COLOMBIA
LCM,FUENTE DE ORO,COLOMBIA
PIN,Parintins,BRASIL
AFI,AMALFI,COLOMBIA
9BZ,RIOSUCIO,COLOMBIA
CUE,Cuenca,ECUADOR
LRA,LERIDA,COLOMBIA
PBR,PARATEBUENO,COLOMBIA
DOM,MELVILLE,ISLA DOMINICA
FDF,Fort-de-France,MARTINIQUE
7IX,PUERTO LOPEZ,COLOMBIA
GLJ,GARZON,COLOMBIA
BAO,GIRARDOT,COLOMBIA
BVA,BUENAVISTA - GUAJIRA,COLOMBIA
9MQ,CUMARIBO,COLOMBIA
CBB,COCHABAMBA,BOLIVIA
SHJ,SHARJAH,ARABIA SAUDI
RTM,ROTTERDAM,HOLANDA
BHZ,BELEN VAL,BRASIL
UIP,QUIMPER,FRANCIA
BLA,ANZOATEGUI,VENEZUELA
RSA,SANTA ROSA,ARGENTINA
YKM,YAKIMA,ESTADOS UNIDOS
BFL,CALIFORNIA,ESTADOS UNIDOS
FNC,MADEIRA,PORTUGAL
BRM,BARQUISIMETO,VENEZUELA
STN,LONDRES,INGLATERRA
LGQ,LAGO AGRIO,ECUADOR
RBR,RIO BRANCO,BRASIL
PWK,CHICAGO,ESTADOS UNIDOS
ATY,DAKOTA DEL SUR,ESTADOS UNIDOS
ANK,ANKARA,TURKEY
NKT,NORTE DE CAROLINA,ESTADOS UNIDOS
TLX,TALCA,CHILE
BFS,BELFAST,IRLANDA
GUM,GUAM AGANA,GUAM
TMA,TAURAMENA,COLOMBIA
HAD,HALMSTAD,SUECIA
PNZ,RECIFE,BRASIL
SAA,OROCUE,COLOMBIA
GMO,GUAMO,COLOMBIA
CDY,SAN VICENTE DEL CAGUAN,COLOMBIA
TER,"TERCEIRA, AZORES",PORTUGAL
